adm_dong_code,pname,pid
1123071000,핵밥 경희대점,1553659262
1123071000,크치치킨 회기점,754792240
1123071000,봉추찜닭 경희대점,19419712
1123071000,삼복한방닭한마리,1939514696
1123071000,빅문,1952948885
1123071000,따께리아 라 비다,1281381165
1123071000,육채미 경희대점,1640313572
1123071000,고기야미안해,21086215
1123071000,발짝 경희대점,1864773214
1123071000,신화쭈꾸미 회기점,36104621
1123071000,심양양꼬치 경희대점,34350864
1123071000,난바우동 회기점,1450569748
1123071000,백소정 경희대점,1149624240
1123071000,안녕유부,1171142449
1123071000,키친요로시쿠,1754260605
1123071000,마장동고기집 경희대점,1623992343
1123071000,경희면옥 본점,1101086584
