adm_dong_code,pname,pid
1123075000,차칸스시,93888928
1123075000,KFC 한국외대,1289971213
1123075000,고흥소곱창&부추생삼겹,31514936
1123075000,롯데리아 외대역점,36849263
1123075000,두끼 한국외대점,1906077552
1123075000,도미노피자 이문점,11781859
1123075000,브릴란테,37746913
1123075000,주수사,38276230
1123075000,서울치즈피자 외대점,20839012
1123075000,매콤화담쭈꾸미,1157643264
1123075000,벗이있는집,1538166563
1123075000,황하,19412672
1123075000,씨마트 외대본점,1737004021
1123075000,광주회관,38274938
1123075000,밥한술,1098031797
1123075000,오뚜기부대찌개,38522262
1123075000,지지고 외대후문점,1944531064
