adm_dong_code,pname,pid
1171069000,공씨네족발보쌈,1558899782
1171069000,진작 롯데백화점 잠실점,1113148779
1171069000,Jbout,1890094432
1171069000,남경막국수 가족1,20708311
1171069000,도몽 잠실새내 본점,1833255935
1171069000,고쿠텐 잠실새내점,1519709604
1171069000,샤오롱바오 잠실새내점,1341545365
1171069000,정담옥,1339377662
1171069000,야끼니꾸소량 잠실새내점,1408139496
1171069000,시그니엘 서울 STAY,754615951
1171069000,도꼭지 KT송파타워점,1516910163
1171069000,초대창 잠실새내점,1355125031
1171069000,세상의모든아침 롯데월드몰점,1739251695
1171069000,오레노라멘 잠실롯데월드몰점,1074304746
1171069000,압구정화로구이 잠실본점,1035299796
1171069000,딤딤섬 롯데월드몰점,1560376466
