adm_dong_code,pname,pid
1165061000,개미식당,37015428
1165061000,경성상회,1361312812
1165061000,오감식당,1307172209
1165061000,분코다이닝 사당점,1615187452
1165061000,바르미 심비디움2 사당점,1563541438
1165061000,우주돈 방배,36667186
1165061000,바오로차이나 사당점,1106010383
1165061000,아그라 파스텔시티 사당점,1824807098
1165061000,공돈,1150325326
1165061000,유미분김밥 방배 직영점,1292227720
1165061000,경복궁 사당점,1336126783
1165061000,시올돈 사당역점,1944415522
1165061000,양양메밀막국수,20927942
1165061000,월량,1865662429
1165061000,샤브리샤브샤브,36046241
1165061000,장수해물대첩 방배본점,1543933670
