place_id,adm_dong_code,name,category,address,opening_hours,services,naver_rating,visitor_review_count,blog_review_count,badges,crawled_at
1336299902,1165057000,보승회관 논현역점,국밥,서울 서초구 강남대로 521 1층,매일 00:00 - 24:00,"단체 이용 가능, 포장, 배달, 예약, 남/녀 화장실 구분, 간편결제",N/A,1370,2836,N/A,2025-04-10 03:57:36
1050425911,1165057000,하이콴,베트남음식,서울 서초구 신반포로 340 1층,월 10:00 - 24:00 화 00:00 - 24:00 수 00:00 - 24:00 목 00:00 - 24:00 금 00:00 - 24:00 토 00:00 - 24:00 일 00:00 - 22:00,"단체 이용 가능, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 포장, 주차",N/A,1751,697,맛있는 메뉴와 특별한 숙주 쌀국수,2025-04-10 03:57:36
37943817,1165057000,서래쭈꾸미,주꾸미요리,서울 서초구 서래로5길 6 서래쭈꾸미,"월 11:00 - 21:00, 15:00 - 17:00 브레이크타임, 20:00 라스트오더 화 11:00 - 21:00, 15:00 - 17:00 브레이크타임, 20:00 라스트오더 수 11:00 - 21:00, 15:00 - 17:00 브레이크타임, 20:00 라스트오더 목 11:00 - 21:00, 15:00 - 17:00 브레이크타임, 20:00 라스트오더 금 11:00 - 21:00, 15:00 - 17:00 브레이크타임, 20:00 라스트오더 토 11:00 - 21:00, 15:00 - 17:00 브레이크타임, 20:00 라스트오더 일 11:00 - 21:00, 15:00 - 17:00 브레이크타임, 20:00 라스트오더","단체 이용 가능, 포장, 예약, 남/녀 화장실 구분, 대기공간, 주차, 발렛파킹",4.33,891,391,맛있는 쭈꾸미와 함께하는 즐거운 식사,2025-04-10 03:57:36
19594193,1165057000,도셰프,이탈리아음식,서울 서초구 강남대로89길 14,"월 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:30 라스트오더 화 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:30 라스트오더 수 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:30 라스트오더 목 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:30 라스트오더 금 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:30 라스트오더 토 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:30 라스트오더 일 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:30 라스트오더","단체 이용 가능, 예약, 포장, 남/녀 화장실 구분, 유아의자, 주차",4.36,2196,1590,맛있는 피자와 도우의 완벽한 조화,2025-04-10 03:57:36
1679079727,1165057000,케르반 파미에스테이션,아시아음식,서울 서초구 사평대로 205 2층 에프피 216호,"매일 11:00 - 21:00, 20:30 라스트오더","예약, 단체 이용 가능, 무선 인터넷, 배달, 주차",N/A,1432,3644,N/A,2025-04-10 03:58:39
37797406,1165057000,부다스벨리 로얄클럽,태국음식,서울 서초구 사평대로 205 파미에스테이션 파미에스테이션 1층,"매일 11:00 - 21:30, 16:00 - 17:00 브레이크타임",N/A,N/A,3335,2101,맛있는 메뉴와 편리한 접근성의 조화,2025-04-10 04:08:28
1600016778,1165057000,밴건디 스테이크하우스,"스테이크,립",서울 서초구 사평대로22길 5 1층 밴건디 스테이크하우스,"월 11:30 - 22:00, 15:00 - 17:30 브레이크타임, 20:30 라스트오더 화 11:30 - 22:00, 15:00 - 17:30 브레이크타임, 20:30 라스트오더 수 11:30 - 22:00, 15:00 - 17:30 브레이크타임, 20:30 라스트오더 목 11:30 - 22:00, 15:00 - 17:30 브레이크타임, 20:30 라스트오더 금 11:30 - 22:00, 15:00 - 17:30 브레이크타임, 20:30 라스트오더 토 11:30 - 22:00, 15:00 - 17:30 브레이크타임, 20:30 라스트오더 일 11:30 - 22:00, 15:00 - 17:30 브레이크타임, 20:30 라스트오더","예약, 단체 이용 가능, 주차, 발렛파킹, 무선 인터넷, 남/녀 화장실 구분",4.73,4873,1931,푸짐한 샐러드와 맛있는 스테이크의 조화,2025-04-10 04:08:27
38510115,1165057000,어랑 생선밥상,생선구이,서울 서초구 사평대로55길 21-2 1층 어랑생선밥상,"월 10:30 - 21:30, 20:50 라스트오더 화 10:30 - 21:30, 20:50 라스트오더 수 10:30 - 21:30, 20:50 라스트오더 목 10:30 - 21:30, 20:50 라스트오더 금 10:30 - 15:30, 14:50 라스트오더 토 정기휴무 (매주 토요일) 일 10:30 - 20:30, 19:50 라스트오더",주차,4.49,1081,325,행정안전부 선정착한가격업소,2025-04-10 04:08:29
1422592463,1165057000,시그니처랩 반포점,양식,서울 서초구 신반포로 194 서울고속버스터미널 경부영동선 1층 승차홈 1번,"매일 09:00 - 20:30, 20:00 라스트오더","단체 이용 가능, 무선 인터넷, 포장, 남/녀 화장실 구분, 배달",4.61,3176,1326,식약처 인증 위생등급 우수 음식점,2025-04-10 04:08:28
1855974959,1165057000,파스타 트리오,양식,서울 서초구 강남대로 545-15 미주빌딩 102호,"월 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:00 라스트오더 화 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:00 라스트오더 수 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:00 라스트오더 목 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:00 라스트오더 금 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:00 라스트오더 토 11:30 - 22:00, 21:00 라스트오더 일 11:30 - 22:00, 21:00 라스트오더","단체 이용 가능, 포장, 남/녀 화장실 구분, 유아의자, 반려동물 동반, 무선 인터넷, 예약, 간편결제, 주차",N/A,2913,1493,다양한 맛과 좋은 분위기의 만남,2025-04-10 04:09:18
1658822371,1165057000,모던샤브하우스 센트럴시티점,샤브샤브,서울 서초구 신반포로 176 3층,"매일 11:30 - 22:00, 21:00 라스트오더","단체 이용 가능, 예약, 포장, 남/녀 화장실 구분, 주차",N/A,2985,1233,쾌적한 분위기에서 즐기는 맛있는 음식,2025-04-10 04:09:56
1185505028,1165057000,멘야시노기,일본식라면,서울 서초구 주흥길 3 108호 109호,월 11:30 - 16:00 화 11:30 - 16:00 수 11:30 - 16:00 목 11:30 - 16:00 금 11:30 - 16:00 토 11:30 - 16:00 일 정기휴무 (매주 일요일),주차,4.5,975,395,찐한 국물이 절로 나는 맛있는 라멘,2025-04-10 04:09:53
37811707,1165057000,이솔라 레스토랑,이탈리아음식,서울 서초구 올림픽대로 2085-14 가빛섬 1층 이솔라 레스토랑,"월 11:30 - 21:30, 15:00 - 17:30 브레이크타임, 20:30 라스트오더 화 11:30 - 21:30, 15:00 - 17:30 브레이크타임, 20:30 라스트오더 수 11:30 - 21:30, 15:00 - 17:30 브레이크타임, 20:30 라스트오더 목 11:30 - 21:30, 15:00 - 17:30 브레이크타임, 20:30 라스트오더 금 11:30 - 21:30, 15:00 - 17:30 브레이크타임, 20:30 라스트오더 토 11:30 - 21:30, 15:00 - 17:00 브레이크타임, 20:30 라스트오더 일 11:30 - 21:30, 15:00 - 17:00 브레이크타임, 20:30 라스트오더","단체 이용 가능, 남/녀 화장실 구분, 무선 인터넷, 예약, 유아의자, 대기공간, 주차",4.49,2005,585,N/A,2025-04-10 04:10:19
1846029274,1165057000,명동피자 신논현점,피자,서울 서초구 강남대로79길 36,"월 정기휴무 (매주 월요일) 화 11:00 - 21:15, 14:50 - 16:00 브레이크타임, 20:45 라스트오더 수 11:00 - 21:15, 14:50 - 16:00 브레이크타임, 20:45 라스트오더 목 11:00 - 21:15, 14:50 - 16:00 브레이크타임, 20:45 라스트오더 금 11:00 - 21:15, 14:50 - 16:00 브레이크타임, 20:45 라스트오더 토 11:00 - 21:15, 20:45 라스트오더 일 11:00 - 21:15, 20:45 라스트오더","무선 인터넷, 예약, 단체 이용 가능, 배달, 포장, 주차",4.32,867,294,농림축산식품부 제공안심식당,2025-04-10 04:10:09
