place_id,adm_dong_code,name,category,address,opening_hours,services,naver_rating,visitor_review_count,blog_review_count,badges,crawled_at
18517429,1154563000,화로구이 독산점,"육류,고기요리",서울 금천구 범안로 1200,매일 00:00 - 24:00,"예약, 단체 이용 가능, 포장, 남/녀 화장실 구분, 주차",N/A,1280,434,맛있는 고기와 깔끔한 정성 음식,2025-04-10 00:40:18
1347438569,1154563000,기주짬뽕 본점,중식당,"서울 금천구 두산로 70 B동 1층 121-1, 2호",월 11:00 - 02:00 화 11:00 - 02:00 수 11:00 - 02:00 목 11:00 - 02:00 금 11:00 - 02:00 토 11:00 - 20:00 일 정기휴무 (매주 일요일),"단체 이용 가능, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분, 유아의자, 주차",N/A,282,65,맛있는 일품 짬뽕과 함께하는 풍성한 식사,2025-04-10 00:40:18
1944327442,1154563000,진영면옥,냉면,서울 금천구 가산로 22-5,"월 11:00 - 21:00, 14:30 - 17:00 브레이크타임, 20:00 라스트오더 화 11:00 - 21:00, 14:30 - 17:00 브레이크타임, 20:00 라스트오더 수 11:00 - 21:00, 14:30 - 17:00 브레이크타임, 20:00 라스트오더 목 11:00 - 21:00, 14:30 - 17:00 브레이크타임, 20:00 라스트오더 금 11:00 - 21:00, 14:30 - 17:00 브레이크타임, 20:00 라스트오더 토 11:00 - 21:00, 14:30 - 17:00 브레이크타임, 20:00 라스트오더 일 정기휴무 (매주 일요일)","무선 인터넷, 남/녀 화장실 구분",4.58,1360,1215,맑은 육수와 맛있는 메뉴의 향연,2025-04-10 00:40:18
1044588978,1154563000,한옥집 숯불갈비 서울본점,"육류,고기요리",서울 금천구 시흥대로141길 71 1층,"월 11:30 - 21:30, 14:00 - 17:00 브레이크타임, 21:00 라스트오더 화 11:30 - 21:30, 14:00 - 17:00 브레이크타임, 21:00 라스트오더 수 11:30 - 21:30, 14:00 - 17:00 브레이크타임, 21:00 라스트오더 목 11:30 - 21:30, 14:00 - 17:00 브레이크타임, 21:00 라스트오더 금 11:30 - 21:30, 14:00 - 17:00 브레이크타임, 21:00 라스트오더 토 11:30 - 21:30, 14:00 - 17:00 브레이크타임, 21:00 라스트오더 일 11:30 - 21:30, 14:00 - 17:00 브레이크타임, 21:00 라스트오더","단체 이용 가능, 포장, 예약, 남/녀 화장실 구분, 무선 인터넷, 간편결제",N/A,1765,643,맛있는 반찬과 고기로 풍성한 식사,2025-04-10 00:40:19
18516128,1154563000,궁전산들애,한식,서울 금천구 독산로 178-1,"월 10:40 - 22:00, 21:20 라스트오더 화 10:40 - 22:00, 21:20 라스트오더 수 10:40 - 22:00, 21:20 라스트오더 목 10:40 - 22:00, 21:20 라스트오더 금 10:40 - 22:00, 21:20 라스트오더 토 10:40 - 22:00, 21:20 라스트오더 일 10:40 - 22:00, 21:20 라스트오더","단체 이용 가능, 포장, 예약, 무선 인터넷",4.41,973,277,맛있는 반찬과 풍성한 게살 간장게장,2025-04-10 00:40:55
33105751,1154563000,서귀포화로구이 금천점,돼지고기구이,서울 금천구 가산로 49 서귀포화로구이,매일 00:00 - 24:00,"예약, 단체 이용 가능, 남/녀 화장실 구분, 무선 인터넷, 포장, 주차",N/A,1456,429,맛있는 고기와 좋은 분위기의 만남,2025-04-10 00:40:57
1526850877,1154563000,팔곱집,"곱창,막창,양",서울 금천구 가산로 49-16 1층,"월 11:00 - 23:00, 15:00 - 16:30 브레이크타임, 22:00 라스트오더 화 11:00 - 23:00, 15:00 - 16:30 브레이크타임, 22:00 라스트오더 수 11:00 - 23:00, 15:00 - 16:30 브레이크타임, 22:00 라스트오더 목 11:00 - 23:00, 15:00 - 16:30 브레이크타임, 22:00 라스트오더 금 11:00 - 23:00, 15:00 - 16:30 브레이크타임, 22:00 라스트오더 토 12:00 - 23:00, 14:30 - 16:00 브레이크타임, 22:00 라스트오더 일 16:00 - 23:00, 22:00 라스트오더","단체 이용 가능, 포장, 무선 인터넷, 주차",N/A,195,51,맛있는 음식과 풍부한 모듬구이의 조화,2025-04-10 00:40:56
1309383630,1154563000,버거킹 금천독산점,햄버거,서울 금천구 시흥대로 421,월 09:00 - 24:00 화 09:00 - 24:00 수 09:00 - 24:00 목 09:00 - 24:00 금 09:00 - 24:00 토 09:00 - 24:00 일 09:00 - 24:00,N/A,N/A,1047,38,식약처 인증 위생등급 매우우수 음식점,2025-04-10 00:40:58
797184999,1154563000,써브웨이 독산점,샌드위치,서울 금천구 시흥대로 399,"매일 08:00 - 22:00, 21:40 라스트오더","포장, 배달, 간편결제, 주차",4.4,2551,0,N/A,2025-04-10 00:41:33
1016650284,1154563000,분짜하노이 금천롯데캐슬점,베트남음식,서울 금천구 시흥대로 291 상가 2층 217호,"월 10:00 - 23:00, 22:30 라스트오더 화 10:00 - 23:00, 22:30 라스트오더 수 10:00 - 23:00, 22:30 라스트오더 목 10:00 - 23:00, 22:30 라스트오더 금 10:00 - 23:00, 22:30 라스트오더 토 09:00 - 23:00, 22:30 라스트오더 일 09:00 - 23:00, 22:30 라스트오더",N/A,N/A,2809,248,맛있는 음식과 깔끔한 분위기의 조화,2025-04-10 00:41:33
