place_id,adm_dong_code,name,category,address,opening_hours,services,naver_rating,visitor_review_count,blog_review_count,badges,crawled_at
36399035,1168070000,단미그린비,한식,서울 강남구 밤고개로14길 13-50,"월 정기휴무 (매주 월요일) 화 11:30 - 21:00, 15:00 - 17:30 브레이크타임, 20:00 라스트오더 수 11:30 - 21:00, 15:00 - 17:30 브레이크타임, 20:00 라스트오더 목 11:30 - 21:00, 15:00 - 17:30 브레이크타임, 20:00 라스트오더 금 11:30 - 21:00, 15:00 - 17:30 브레이크타임, 20:00 라스트오더 토 11:30 - 21:30, 15:00 - 17:30 브레이크타임, 20:30 라스트오더 일 11:30 - 21:30, 15:00 - 17:30 브레이크타임, 20:30 라스트오더","예약, 단체 이용 가능, 주차, 무선 인터넷, 남/녀 화장실 구분, 포장",N/A,412,393,친절한 서비스와 다양한 룸 시설의 만남,2025-04-09 04:39:42
1000523175,1168070000,무한감자탕 강남자곡본점,감자탕,서울 강남구 자곡로 174-10 강남에이스타워 1층 103~104호 무한감자탕,"매일 11:00 - 22:00, 21:30 라스트오더","단체 이용 가능, 무선 인터넷, 유아의자, 남/녀 화장실 구분, 포장, 배달, 예약, 간편결제, 주차",N/A,346,176,깔끔한 매장과 친절한 서비스로 편안한 식사,2025-04-09 04:39:44
1844889084,1168070000,목포명가 율현본점,생선회,서울 강남구 밤고개로23길 22,"월 11:00 - 21:30, 15:00 - 16:30 브레이크타임, 21:15 라스트오더 화 11:00 - 21:30, 15:00 - 16:30 브레이크타임, 21:15 라스트오더 수 11:00 - 21:30, 15:00 - 16:30 브레이크타임, 21:15 라스트오더 목 11:00 - 21:30, 15:00 - 16:30 브레이크타임, 21:15 라스트오더 금 11:00 - 21:30, 15:00 - 16:30 브레이크타임, 21:15 라스트오더 토 11:00 - 21:00, 20:45 라스트오더 일 11:00 - 21:00, 20:45 라스트오더","단체 이용 가능, 무선 인터넷, 예약, 포장, 배달, 주차",4.42,1131,906,신선한 해산물이 가득한 맛있는 낙지 비빔밥,2025-04-09 04:39:44
1578673202,1168070000,신선옥 강남자곡본점,"찌개,전골",서울 강남구 자곡로 172 강남엑슬루프라임 1층 116호,"월 11:00 - 22:00, 21:30 라스트오더 화 11:00 - 22:00, 21:30 라스트오더 수 11:00 - 22:00, 21:30 라스트오더 목 11:00 - 22:00, 21:30 라스트오더 금 11:00 - 22:00, 21:30 라스트오더 토 11:00 - 22:00, 21:30 라스트오더 일 11:00 - 21:00, 20:30 라스트오더","단체 이용 가능, 예약, 무선 인터넷, 유아의자, 남/녀 화장실 구분, 대기공간, 배달, 포장, 간편결제, 주차",N/A,737,186,맛있는 음식과 깔끔한 환경의 조화,2025-04-09 04:39:43
1654250219,1168070000,피자리움,피자,서울 강남구 밤고개로23길 20,"월 정기휴무 (매주 월요일) 화 11:00 - 15:00 수 11:00 - 21:00, 15:00 - 17:00 브레이크타임 목 11:00 - 21:00, 15:00 - 17:00 브레이크타임 금 11:00 - 21:00, 15:00 - 17:00 브레이크타임 토 11:00 - 21:00, 15:00 - 17:00 브레이크타임 일 11:00 - 21:00, 15:00 - 17:00 브레이크타임","포장, 주차, 단체 이용 가능, 예약",4.56,492,343,품질 좋은 피자와 맛있는 스파게티의 만남,2025-04-09 04:40:30
1260055431,1168070000,만강 수서점,한식,서울 강남구 밤고개로21길 81,월 11:00 - 22:00 화 11:00 - 22:00 수 11:00 - 22:00 목 11:00 - 22:00 금 11:00 - 22:00 토 11:00 - 22:00 일 11:00 - 22:00,"예약, 발렛파킹, 포장, 남/녀 화장실 구분, 단체 이용 가능, 주차",4.21,266,90,맛있는 음식과 아름다운 뷰의 만남,2025-04-09 04:41:00
33666668,1168070000,추오정남원추어탕 수서점,추어탕,서울 강남구 밤고개로14길 13,"월 11:00 - 21:10, 20:20 라스트오더 화 11:00 - 21:10, 20:20 라스트오더 수 11:00 - 21:10, 20:20 라스트오더 목 11:00 - 21:10, 20:20 라스트오더 금 11:00 - 21:10, 20:20 라스트오더 토 11:00 - 21:10, 20:20 라스트오더 일 11:00 - 21:10, 20:20 라스트오더","단체 이용 가능, 포장, 남/녀 화장실 구분, 주차",4.43,1928,198,N/A,2025-04-09 04:41:08
1949909043,1168070000,미스타쌀국수 자곡점,베트남음식,서울 강남구 자곡로 172 강남엑슬루프라임 지상1층 115호,"월 08:00 - 21:00, 20:30 라스트오더 화 08:00 - 21:00, 20:30 라스트오더 수 08:00 - 21:00, 20:30 라스트오더 목 08:00 - 21:00, 20:30 라스트오더 금 08:00 - 21:00, 20:30 라스트오더 토 11:00 - 21:00, 20:30 라스트오더 일 11:00 - 21:00, 20:30 라스트오더","포장, 배달, 예약, 남/녀 화장실 구분, 주차",N/A,1061,402,신선한 재료로 만든 맛있는 쌀국수,2025-04-09 04:41:28
1243886495,1168070000,바이탈 바이브 강남본점,이탈리아음식,서울 강남구 밤고개로34길 14 2층,,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분, 반려동물 동반, 유아의자, 주차",N/A,365,520,다양한 맛과 아름다운 인테리어가 어우러진 공간,2025-04-09 04:41:08
35346989,1168070000,형제왕족발보쌈,"족발,보쌈",서울 강남구 밤고개로36길 6,매일 11:30 - 23:30,"포장, 배달, 단체 이용 가능",4.36,237,327,촉촉한 윤기 나는 맛있는 족발,2025-04-09 04:42:32
