place_id,adm_dong_code,name,category,address,opening_hours,services,naver_rating,visitor_review_count,blog_review_count,badges,crawled_at
694411058,1138055100,태백산생고기,소고기구이,서울 은평구 연서로 205 1층 태백산생고기,월 정기휴무 (매주 월요일) 화 15:30 - 22:00 수 15:30 - 22:00 목 15:30 - 22:00 금 15:30 - 22:00 토 12:00 - 22:00 일 12:00 - 22:00,"무선 인터넷, 포장",4.71,736,378,맛있는 고기와 음식이 기다리는 식당,2025-04-11 02:09:25
1700122375,1138055100,우리소황소곱창 연신내점,"곱창,막창,양",서울 은평구 연서로27길 15 1층 (갈현동),"월 16:00 - 24:00, 23:30 라스트오더 화 16:00 - 24:00, 23:30 라스트오더 수 16:00 - 24:00, 23:30 라스트오더 목 16:00 - 24:00, 23:30 라스트오더 금 16:00 - 24:00, 23:30 라스트오더 토 16:00 - 24:00, 23:30 라스트오더 일 16:00 - 24:00, 23:30 라스트오더","단체 이용 가능, 예약, 남/녀 화장실 구분",N/A,1177,158,다양한 메뉴와 맛있는 곱창의 향연,2025-04-11 02:09:26
1273652338,1138055100,뭉텅 연신내점,돼지고기구이,서울 은평구 연서로29길 22 1층 뭉텅,"월 16:00 - 23:00, 22:30 라스트오더 화 16:00 - 23:00, 22:30 라스트오더 수 16:00 - 23:00, 22:30 라스트오더 목 16:00 - 23:00, 22:30 라스트오더 금 16:00 - 23:00, 22:30 라스트오더 토 13:00 - 23:00, 22:30 라스트오더 일 13:00 - 23:00, 22:30 라스트오더","예약, 남/녀 화장실 구분, 무선 인터넷, 단체 이용 가능, 유아의자, 대기공간, 주차",N/A,2884,1525,N/A,2025-04-11 02:09:25
1563653291,1138055100,호코 연신내본점,일식당,서울 은평구 연서로27길 21 2층 호코,"월 정기휴무 (매주 월요일) 화 11:00 - 21:00, 15:30 - 16:30 브레이크타임, 20:30 라스트오더 수 11:00 - 21:00, 15:30 - 16:30 브레이크타임, 20:30 라스트오더 목 11:00 - 21:00, 15:30 - 16:30 브레이크타임, 20:30 라스트오더 금 11:00 - 21:00, 15:30 - 16:30 브레이크타임, 20:30 라스트오더 토 11:00 - 21:00, 20:30 라스트오더 일 11:00 - 21:00, 20:30 라스트오더","단체 이용 가능, 예약, 무선 인터넷, 유아의자, 포장, 간편결제",N/A,622,39,깔끔한 넓은 매장에서 즐기는 다양한 맛,2025-04-11 02:09:27
1484070054,1138055100,경주식당 연신내점,한식,"서울 은평구 연서로27길 13-8 1, 2층 경주식당 연신내점","매일 11:30 - 23:00, 15:30 - 17:30 브레이크타임, 22:00 라스트오더","단체 이용 가능, 예약, 남/녀 화장실 구분, 무선 인터넷, 유아의자",4.66,776,1188,맛있는 반찬과 좋은 분위기의 조화,2025-04-11 02:10:12
20869021,1138055100,아우성황소곱창,"곱창,막창,양",서울 은평구 연서로29길 14-12 1층,월 15:00 - 02:00 화 15:00 - 02:00 수 15:00 - 02:00 목 15:00 - 02:00 금 15:00 - 02:00 토 15:00 - 02:00,"단체 이용 가능, 포장, 예약, 반려동물 동반, 남/녀 화장실 구분, 무선 인터넷, 배달",4.4,2564,1845,맛있는 곱창과 풍성한 메뉴의 향연,2025-04-11 02:10:36
1826906525,1138055100,홍계화 연신내본점,요리주점,서울 은평구 연서로27길 8-7 1층,매일 16:00 - 02:30,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷, 대기공간, 주차",N/A,788,302,숙주가득 국물닭발의 시원한 맛,2025-04-11 02:10:55
1881204152,1138055100,우후죽순 연신내점,요리주점,서울 은평구 연서로29길 8 2층,월 17:00 - 05:00 화 17:00 - 05:00 수 17:00 - 05:00 목 17:00 - 05:00 금 17:00 - 06:00 토 17:00 - 06:00 일 17:00 - 05:00,"단체 이용 가능, 예약, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분",N/A,263,230,다양한 안주 메뉴로 즐거운 시간,2025-04-11 02:11:01
1096132356,1138055100,한사발포차 연신내점,요리주점,서울 은평구 연서로29길 14-4 1층(갈현동),"월 17:00 - 04:00, 03:00 라스트오더 화 17:00 - 04:00, 03:00 라스트오더 수 17:00 - 04:00, 03:00 라스트오더 목 17:00 - 04:00, 03:00 라스트오더 금 17:00 - 04:00, 03:00 라스트오더 토 17:00 - 05:00, 04:00 라스트오더 일 17:00 - 05:00, 04:00 라스트오더","단체 이용 가능, 포장",N/A,786,368,닭볶음탕의 매운 맛과 풍미,2025-04-11 02:11:13
1980588842,1138055100,야끼니꾸소량 연신내점,"육류,고기요리",서울 은평구 연서로29길 24 정운빌딩 1층 야끼니꾸 소량,"월 17:00 - 24:00, 23:00 라스트오더 화 정기휴무 (매주 화요일) 수 17:00 - 24:00, 23:00 라스트오더 목 17:00 - 24:00, 23:00 라스트오더 금 17:00 - 01:00, 00:00 라스트오더 토 17:00 - 01:00, 00:00 라스트오더 일 17:00 - 24:00, 23:00 라스트오더","단체 이용 가능, 무선 인터넷, 예약, 주차",N/A,234,48,N/A,2025-04-11 02:11:40
1805982423,1138055100,갈현차돌 연신내본점,소고기구이,서울 은평구 통일로87길 14 1층,"월 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:00 라스트오더 화 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:00 라스트오더 수 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:00 라스트오더 목 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:00 라스트오더 금 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:00 라스트오더 토 11:30 - 22:00, 15:00 - 17:00 브레이크타임, 21:00 라스트오더 일 정기휴무 (매주 일요일)","단체 이용 가능, 무선 인터넷, 예약, 포장, 유아의자, 주차",4.56,427,290,농림축산식품부 제공안심식당,2025-04-11 02:12:19
1607882299,1138055100,오름집 연신내본점,"찌개,전골",서울 은평구 연서로29길 20-23 2층 오름집,월 16:30 - 24:00 화 16:30 - 24:00 수 16:30 - 24:00 목 16:30 - 24:00 금 16:30 - 01:00 토 16:30 - 01:00 일 16:30 - 24:00,"포장, 무선 인터넷, 배달, 단체 이용 가능",4.43,1066,573,맛있는 음식과 특선 곱창조림의 조화,2025-04-11 02:12:39
1448066831,1138055100,꾸석지돌판한우 연신내2호점,"육류,고기요리",서울 은평구 연서로29길 14-14 1층,"월 17:00 - 24:00, 23:00 라스트오더 화 17:00 - 24:00, 23:00 라스트오더 수 정기휴무 (매주 수요일) 목 17:00 - 24:00, 23:00 라스트오더 금 17:00 - 24:00, 23:00 라스트오더 토 17:00 - 24:00, 23:00 라스트오더 일 17:00 - 24:00, 23:00 라스트오더","단체 이용 가능, 포장, 무선 인터넷",N/A,429,38,맛있는 국물과 품질 좋은 고기의 조화,2025-04-11 02:12:09
1193069264,1138055100,아스론가 연신내,양식,서울 은평구 연서로29길 17-3 1층,월 17:00 - 24:00 화 17:00 - 24:00 수 17:00 - 24:00 목 17:00 - 24:00 금 17:00 - 24:00 토 12:00 - 24:00 일 12:00 - 24:00,"단체 이용 가능, 반려동물 동반, 무선 인터넷, 남/녀 화장실 구분, 예약, 포장, 주차",N/A,1244,934,농림축산식품부 제공안심식당,2025-04-11 02:12:19
1320007478,1138055100,핵밥 연신내점,덮밥,서울 은평구 연서로29길 4-1,"월 11:00 - 21:30, 20:50 라스트오더 화 11:00 - 21:30, 20:50 라스트오더 수 11:00 - 21:30, 20:50 라스트오더 목 11:00 - 21:30, 20:50 라스트오더 금 11:00 - 21:30, 20:50 라스트오더 토 11:00 - 21:30, 20:50 라스트오더 일 11:00 - 21:30, 20:50 라스트오더","예약, 포장",N/A,2402,1897,N/A,2025-04-11 02:13:49
1283325024,1138055100,부탄,"육류,고기요리",서울 은평구 연서로25길 6-15 1층,"매일 14:00 - 05:00, 04:00 라스트오더","예약, 무선 인터넷, 남/녀 화장실 구분, 유아의자, 대기공간, 단체 이용 가능",N/A,218,145,식약처 인증 위생등급 좋음 음식점,2025-04-11 02:13:21
1068986457,1138055100,더줌,요리주점,서울 은평구 통일로87길 6-7 1층,"월 16:00 - 01:00, 23:00 라스트오더 화 16:00 - 01:00, 23:00 라스트오더 수 16:00 - 01:00, 23:00 라스트오더 목 16:00 - 01:00, 23:00 라스트오더 금 16:00 - 01:00, 23:00 라스트오더 토 16:00 - 01:00, 23:00 라스트오더","단체 이용 가능, 예약, 무선 인터넷",N/A,139,82,삼촌카세의 다양하고 맛있는 한입,2025-04-11 02:13:51
410435643,1138055100,한판승부,이자카야,서울 은평구 통일로83길 11-6 1층,"월 17:00 - 01:00, 23:30 라스트오더 화 17:00 - 01:00, 23:30 라스트오더 수 17:00 - 01:00, 23:30 라스트오더 목 17:00 - 01:00, 23:30 라스트오더 금 17:00 - 01:00, 23:30 라스트오더 토 17:00 - 01:00, 23:30 라스트오더 일 정기휴무 (매주 일요일)","무선 인터넷, 포장, 노키즈존",N/A,250,275,맛있는 숙성회와 풍성한 반찬의 조화,2025-04-11 02:14:36
1587374740,1138055100,쌩판 연신내본점,이자카야,서울 은평구 연서로27길 20-9 1층,"매일 17:00 - 04:00, 03:00 라스트오더","단체 이용 가능, 예약, 무선 인터넷, 대기공간, 간편결제",N/A,718,82,다양한 맛있는 음식과 좋은 분위기의 공간,2025-04-11 02:15:30
1450001369,1138055100,서울돈 연신내본점,돼지고기구이,서울 은평구 통일로83길 6-16 1층,"월 16:00 - 24:00, 22:30 라스트오더 화 16:00 - 24:00, 22:30 라스트오더 수 16:00 - 24:00, 22:30 라스트오더 목 16:00 - 24:00, 22:30 라스트오더 금 16:00 - 24:00, 22:30 라스트오더 토 12:00 - 24:00, 15:00 - 16:00 브레이크타임, 22:30 라스트오더 일 12:00 - 23:00, 15:00 - 16:00 브레이크타임, 21:30 라스트오더",주차,N/A,428,327,맛있는 고기와 다양한 밑반찬의 향연,2025-04-11 02:15:27
11807374,1138055100,맥도날드 연신내점,햄버거,서울 은평구 연서로 213 성보빌딩,매일 00:00 - 24:00,"배달, 24시간",4.34,9299,162,식약처 인증 위생등급 매우우수 음식점,2025-04-11 02:15:55
21037830,1138055100,미소복 원조 양평해장국,해장국,서울 은평구 연서로 203,"월 07:00 - 22:00, 21:30 라스트오더 화 07:00 - 22:00, 21:30 라스트오더 수 07:00 - 22:00, 21:30 라스트오더 목 07:00 - 22:00, 21:30 라스트오더 금 07:00 - 22:00, 21:30 라스트오더 토 07:00 - 22:00, 21:30 라스트오더 일 07:00 - 22:00, 21:30 라스트오더","단체 이용 가능, 포장, 주차",4.24,2161,300,중독성 있는 맛의 다양한 맛있는 메뉴,2025-04-11 02:15:29
18664391,1138055100,연수식당,한식,서울 은평구 연서로27길 17-1,"매일 11:00 - 22:00, 14:00 - 17:00 브레이크타임",N/A,4.31,694,224,깔끔한 맛의 맛있는 오삼불고기,2025-04-11 02:16:28
1412939656,1138055100,하기당,이자카야,서울 은평구 통일로83길 5-8 2F,"월 정기휴무 (매주 월요일) 화 정기휴무 (매주 화요일) 수 12:00 - 03:00, 16:30 - 18:00 브레이크타임, 02:00 라스트오더 목 12:00 - 03:00, 16:30 - 18:00 브레이크타임, 02:00 라스트오더 금 12:00 - 03:00, 16:30 - 18:00 브레이크타임, 02:00 라스트오더 토 12:00 - 03:00, 16:30 - 18:00 브레이크타임, 02:00 라스트오더 일 12:00 - 03:00, 16:30 - 18:00 브레이크타임, 02:00 라스트오더","단체 이용 가능, 무선 인터넷, 예약",4.8,232,133,다양한 사케 맛과 맛있는 음식의 조화,2025-04-11 02:17:00
1480019975,1138055100,동궁찜닭 은평연신내점,찜닭,서울 은평구 연서로29길 14-12 2층 동궁찜닭 은평점,"매일 10:00 - 21:30, 21:00 라스트오더","단체 이용 가능, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 대기공간, 유아의자",4.53,1648,707,N/A,2025-04-11 02:16:43
37619274,1138055100,심야식당세이지 연신내본점,이자카야,서울 은평구 연서로27길 13-6 심야식당세이지,월 18:00 - 01:00 화 18:00 - 01:00 수 18:00 - 01:00 목 18:00 - 01:00 금 17:00 - 02:00 토 17:00 - 02:00 일 17:00 - 02:00,"남/녀 화장실 구분, 단체 이용 가능, 주차",N/A,866,545,다양한 맛있는 메뉴와 좋은 분위기,2025-04-11 02:16:52
1163080891,1138055100,이치고이치에 연신내,덮밥,서울 은평구 연서로27길 26 1층,"월 11:00 - 22:00, 21:20 라스트오더 화 11:00 - 22:00, 21:20 라스트오더 수 11:00 - 22:00, 21:20 라스트오더 목 11:00 - 22:00, 21:20 라스트오더 금 11:00 - 22:00, 21:20 라스트오더 토 11:00 - 22:00, 21:20 라스트오더 일 11:00 - 22:00, 21:20 라스트오더","단체 이용 가능, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 배달, 간편결제",N/A,1804,125,맛있는 스테이크 덮밥과 푸짐한 양의 만남,2025-04-11 02:17:35
18674695,1138055100,마산종가아구찜구산본점,한식,서울 은평구 연서로 191 마산종가아구찜,"월 정기휴무 (매주 월요일) 화 11:30 - 22:00, 15:00 - 16:00 브레이크타임, 21:00 라스트오더 수 11:30 - 22:00, 15:00 - 16:00 브레이크타임, 21:00 라스트오더 목 11:30 - 22:00, 15:00 - 16:00 브레이크타임, 21:00 라스트오더 금 11:30 - 22:00, 15:00 - 16:00 브레이크타임, 21:00 라스트오더 토 11:30 - 22:00, 15:00 - 16:00 브레이크타임, 21:00 라스트오더 일 11:30 - 22:00, 15:00 - 16:00 브레이크타임, 21:00 라스트오더","단체 이용 가능, 포장, 남/녀 화장실 구분, 주차",4.39,1106,92,풍부한 아구찜 살과 매콤한 양념의 환상 조합,2025-04-11 02:17:58
1636261457,1138055100,신라마라탕&훠궈무한리필 연신내점,중식당,서울 은평구 연서로29길 14-6 2층,월 11:00 - 23:00 화 11:00 - 23:00 수 11:00 - 23:00 목 11:00 - 23:00 금 11:00 - 23:00 토 11:00 - 23:00 일 11:00 - 23:00,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",4.84,1369,196,"다양한 메뉴와 맛있는 마라샹궈, 마라탕",2025-04-11 02:18:09
1304742654,1138055100,서교주담 연신내,요리주점,서울 은평구 연서로29길 21-2 1층 서교주담,월 17:00 - 02:00 화 17:00 - 02:00 수 17:00 - 02:00 목 17:00 - 02:00 금 17:00 - 04:00 토 17:00 - 04:00 일 17:00 - 02:00,"무선 인터넷, 포장, 예약, 간편결제",N/A,107,63,담도리탕의 깊고 풍성한 맛,2025-04-11 02:18:33
1880463476,1138055100,이피플라츠,와인,서울 은평구 연서로25길 6-7 1층,"월 정기휴무 (매주 월요일) 화 정기휴무 (매주 화요일) 수 12:00 - 24:00, 15:00 - 17:00 브레이크타임, 23:00 라스트오더 목 12:00 - 24:00, 15:00 - 17:00 브레이크타임, 23:00 라스트오더 금 12:00 - 24:00, 15:00 - 17:00 브레이크타임, 23:00 라스트오더 토 12:00 - 24:00, 15:00 - 17:00 브레이크타임, 23:00 라스트오더 일 12:00 - 22:00, 15:00 - 17:00 브레이크타임, 21:00 라스트오더","단체 이용 가능, 예약, 무선 인터넷, 반려동물 동반, 포장, 배달, 유아의자, 간편결제, 주차",N/A,593,369,맛있는 메뉴와 아늑한 분위기의 조화,2025-04-11 02:19:23
1117904505,1138055100,화로상회 갈현점,고기뷔페,서울 은평구 연서로29길 34 1층,"월 정기휴무 (매주 월요일) 화 12:00 - 22:30, 22:00 라스트오더 수 12:00 - 22:30, 22:00 라스트오더 목 12:00 - 22:30, 22:00 라스트오더 금 12:00 - 22:30, 22:00 라스트오더 토 12:00 - 22:30, 22:00 라스트오더 일 12:00 - 22:30, 22:00 라스트오더",주차,4.38,476,139,N/A,2025-04-11 02:19:28
