adm_dong_code,pname,pid
1129076000,서민스시 장위 본점,1820940739
1129076000,드림랜드,767995677
1129076000,온량,1796729449
1129076000,짬뽕관 장위뉴타운점,1689042840
1129076000,갯마을바지락칼국수,1015195477
1129076000,돌쌈,1194908921
1129076000,에이치코드,37017445
1129076000,한근더한근,38415106
1129076000,피자스쿨 장위고개점,37573031
1129076000,샐러디 장위뉴타운점,1100109447
1129076000,메밀의 정석,1544630164
1129076000,전통남원추어탕 장위점,1653600613
1129076000,나씽벗,1662376438
1129076000,하남돼지집 돌곶이역점,1885480771
1129076000,서향&아리산,1912145810
1129076000,동대문엽기떡볶이 장위점,37838148
1129076000,쭈삼이,148362685
1129076000,하늘이야기,1828255136
1129076000,써브웨이 장위뉴타운점,1232506500
1129076000,60계치킨 서울장위뉴타운점,1153694126
1129076000,후라이드참잘하는집 장위점,37426038
1129076000,노모어피자 꿈의숲점,1102986352
1129076000,교촌치킨 석관장위점,11802540
1129076000,역전할머니맥주 북서울꿈의숲점,1407805860
1129076000,장석골 한우곱창,1355111181
1129076000,고센 기와집갈비25,35977345
1129076000,서민스시 장위 본점,1820940739
1129076000,드림랜드,767995677
1129076000,온량,1796729449
1129076000,짬뽕관 장위뉴타운점,1689042840
1129076000,갯마을바지락칼국수,1015195477
1129076000,돌쌈,1194908921
1129076000,태성집,34658428
1129076000,차이나칸,20989828
1129076000,장위기사식당,11625803
1129076000,직화짬뽕전문점 장위점,1807461104
1129076000,화포식당 장위뉴타운점,1012216492
1129076000,정담초밥 장위직영점,1739466206
1129076000,이우철한방누룽지삼계탕 돌곶이역점,1710191283
1129076000,주공 장위직영,1056184628
1129076000,하남돼지집 돌곶이역점,1885480771
1129076000,서향&아리산,1912145810
1129076000,동대문엽기떡볶이 장위점,37838148
1129076000,쭈삼이,148362685
1129076000,고고수산 산오징어물회,1899859265
1129076000,바르다 김선생 장위뉴타운점,1410239229
1129076000,옹심이네칼국수,1802317308
1129076000,유미닭집,37118730
