adm_dong_code,pname,pid
1129081000,흥부왕족발,15000934
1129081000,떡볶이심리학,1427296630
1129081000,동궁찜닭 성북석관점,1230199721
1129081000,펀비어킹 성북 돌곶이역점,36640060
1129081000,우리집 돌곶이역점,1426881095
1129081000,읏듬돈생삼겹살,41722390
1129081000,문어애주 석계역점,1065951926
1129081000,프랭크버거 석관점,1823235078
1129081000,늘통큰감자탕본점,1270088863
1129081000,원조돈곱창닭갈비,1890404420
1129081000,성북왕족발,18304076
1129081000,명태어장 석계역점,1214845155
1129081000,페리카나 석관동점,11800281
1129081000,창신동매운족발 본점2호점,1071207148
1129081000,경화네김밥,1990110535
1129081000,왕십리곱창,38008351
1129081000,꼬꼬스토리 석관점,1223149335
1129081000,행복한시골추어탕,1756371894
1129081000,테이블토크,34069447
1129081000,아리랑2,1387606591
1129081000,응급실국물떡볶이 서울석관점,1215898773
1129081000,남도맛집,18924055
1129081000,은영희네,32372411
1129081000,샘터왕족발,38010200
1129081000,명성식당,20843555
1129081000,치르치르 석계역점,34249484
1129081000,고향손칼국수&마늘보쌈,37532967
1129081000,화평동왕냉면 석관점,12826020
1129081000,부어치킨 돌곶이점,1964550982
1129081000,마린수산,20920298
1129081000,아리랑2,1387606591
1129081000,응급실국물떡볶이 서울석관점,1215898773
1129081000,남도맛집,18924055
1129081000,치르치르 석계역점,34249484
1129081000,명성식당,20843555
1129081000,은영희네,32372411
1129081000,샘터왕족발,38010200
1129081000,고향손칼국수&마늘보쌈,37532967
1129081000,부어치킨 돌곶이점,1964550982
1129081000,화평동왕냉면 석관점,12826020
1129081000,현방오백소갈비살 돌곶이역점,1379942177
1129081000,포포,1727302880
1129081000,이자카야 콤마,1816161368
1129081000,크라운호프 석계역점,1154844986
1129081000,자연숯불화로구이,471911907
1129081000,석관동닭한마리,1068706918
1129081000,참맛감자탕석관점,19362345
1129081000,쌈촌 석관점,20520951
1129081000,펍피맥 석계점,1530471889
1129081000,이차돌 플러스 돌곶이역점,1943497295
1129081000,버들국수,33447566
1129081000,교동짬뽕,112885245
1129081000,한방닭한마리,43316175
1129081000,순천갈치조림,1311040855
1129081000,보나푸드,1824319872
1129081000,크라운호프 석계역점,1154844986
1129081000,자연숯불화로구이,471911907
1129081000,석관동닭한마리,1068706918
1129081000,순천갈치조림,1311040855
1129081000,버들국수,33447566
1129081000,교동짬뽕,112885245
