place_id,nickname,content,date,situations,keywords,review_count,visit_count
11679456,namesms,"토요일 오후 1시쯤 2명이서 갔는데웨이팅 없이 입장했고앉자마자 고기 주문하면 고기부터 나오고찬 깔립니다가게가 엄청 바쁜데 직원분 너무 친절하시고 불판도 알아서 갈아주십니다달지않고 너무 맛있어요 ㅎㅎ된장찌개, 공기밥 천원인데 자꾸 들어가는 맛이에요 총각김치랑 무청이 약간 달달한테 감칠맛 있어서맛있더라구요 ㅎㅎ 마지막에 식혜까지 코스요리 짜지않고 너무 맛있어요!밀키트도 판매하더라구요 ㅎㅎ 조박집 별관은 운영하지않았어요 다음에 부모님 모시고 재방문 하려구요",2025-04-05,"점심에 방문, 대기 시간 바로 입장, 데이트, 연인・배우자",음식이 맛있어요,108,1
11679456,minzzang,,2025-04-04,"점심에 방문, 예약 없이 이용, 대기 시간 바로 입장, 일상, 지인・동료",음식이 빨리 나와요,233,1
11679456,즐거움자유,고기가 맛있어요.,2025-04-01,"점심에 방문, 예약 없이 이용, 대기 시간 바로 입장, 일상, 부모님",음식이 맛있어요,884,2
11679456,mjhealth,배고파서 후딱후딱~~맛있게 잘 먹었습니다~^^,2025-03-29,"저녁에 방문, 예약 없이 이용, 대기 시간 30분 이내, 친목, 지인・동료",음식이 맛있어요,1901,1
11679456,연두연두두연두두두,역시! 맛있습니다 ㅎㅎ 동치미국수 조금씩 나오는데 깔끔하니 좋아용 마지막에 식혜까지 주시는데 맛있습니다!!,2025-03-29,"점심에 방문, 예약 없이 이용, 대기 시간 30분 이내",음식이 맛있어요,41,1
11679456,hsh****,조박집은 인생에서 맛집 탑10에 들어요동치미 국수랑 양념갈비 같이 먹으면 개 꿀맛후식으로 주는 식혜도 넘 맛나요❤️❤️❤️배고픈데 먹고싶은게 없을땐 조박집으로~~,2025-03-15,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 데이트, 연인・배우자",매장이 넓어요,77,1
11679456,pyj****,돼지갈비 최고의 맛집입니다.,2025-03-15,"점심에 방문, 예약 없이 이용, 대기 시간 바로 입장, 일상, 지인・동료",음식이 맛있어요,766,2
11679456,해웅,이게 몇년만인가조박집 조박집 노래를 부르다 간곳예전과 맛도 동일하고 가성비도 좋다직원들도 다 친절하시고 아주 굿~~~,2025-03-14,"저녁에 방문, 예약 없이 이용, 대기 시간 30분 이내, 나들이, 연인・배우자",친절해요,2822,1
11679456,miz****,살짝 초벌해주면 좋겠어요. 고기탈까봐 굽느라 바빠서 밥이 코로들어가는지 입으로 들어가는지 정신없어요.환기가 너무 안되서…. ㅠㅠ,2025-03-08,"점심에 방문, 예약 없이 이용, 대기 시간 10분 이내, 나들이, 아이",음식이 맛있어요,699,2
11679456,백수인,홍성대 기본 수학의 정석 같은 느낌.돼지갈비 식당의 기준을 제시한 곳.마포구 전체 1위 돼지갈비 식당.,2025-03-07,점심에 방문,친절해요,1020,1
11679456,라몬85,실패없는 돼지갈비집.,2025-03-01,"점심에 방문, 예약 없이 이용, 대기 시간 10분 이내, 나들이, 지인・동료",음식이 맛있어요,853,1
11679456,ya****,ㅠㅠ사진찍어야지 해놓쿠 너무 맛있어서 까묵었네요~~다묵고 생각나네요.항상같은 맛으로 맛있게 먹고 갑니다.초파주 맛있어용~~맛있어요 좋아요 좋으네요,2025-02-22,"점심에 방문, 예약 없이 이용, 대기 시간 바로 입장, 데이트, 연인・배우자",음식이 맛있어요,1220,6
11679456,yos****,늘 친절하고 맛있어요,2025-02-20,점심에 방문,음식이 맛있어요,875,11
11679456,세상은 내편,마포  모임에 친구들과 맛있게 먹는 조박집모임에 이곳을 정하면 만족하게 먹고 나오는 집입니다일하시는 분들도 친절하세요,2025-02-20,"점심에 방문, 예약 없이 이용, 대기 시간 바로 입장, 친목, 친구",음식이 맛있어요,2213,4
11679456,엄살왕,갈비도 맛있지만 조박집은 무김치가 정말 맛있어요,2025-02-14,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 일상, 연인・배우자, 아이",음식이 맛있어요,2373,2
11679456,옹꾸,좋아요,2025-02-11,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 친목, 친구",음식이 맛있어요,1211,1
11679456,씨크릿,조박집 돼지갈비 맛집이지만한우주물럭도 맛있어요.한우 주물럭 먹고 마지막에 돼지갈비랑 된찌먹음 딱 좋아요. 동치미 국수랑 식혜도 맛있어요.,2025-02-11,"점심에 방문, 예약 없이 이용, 대기 시간 바로 입장, 일상, 연인・배우자, 아이",음식이 맛있어요,886,1
11679456,라일락K,좋아,2025-02-11,"점심에 방문, 예약 없이 이용, 대기 시간 바로 입장, 일상, 지인・동료",음식이 맛있어요,1661,5
11679456,수근68,늦은 점심식사하러 간만에 조박집을 갔어요.돼지갈비 맛집이죠.참 오래 다녔는데 한결같은 맛이에요.동치미 국수와 마지막에 나오는 얼음동동 식혜도 일품제가 돼지갈비가 땡기면 가는곳.공기밥과 된장찌개도 시켜먹었어요.전과 다른점은 된장소스만 나온다는거고추장소스는 달라하면 가져다 주네요.고추장소스도 맛있어요.간만에 잘 먹고 갑니다.1인분 19000원이지만 아깝지않다는^^최고^^,2025-02-10,"점심에 방문, 예약 없이 이용, 대기 시간 바로 입장, 일상, 친구",음식이 맛있어요,1852,6
11679456,시간라온,맛있게 잘먹었습니다~!석박지가 정말 맛있습니다!!,2025-02-10,"점심에 방문, 예약 없이 이용, 대기 시간 바로 입장",음식이 맛있어요,37,1
