place_id,nickname,content,date,situations,keywords,review_count,visit_count
13395127,SSODAENG,"성내천 산책하고 들리기 좋은 오금동 굽네치킨!매번 배달시켜 먹다가 처음으로 매장에서 먹었는데, 갓 구운 치킨이라 역시 존맛탱쓰🫶보다 건강하면서도 맛있게 즐길 수 있는 오븐바사삭 치킨이랑 단짠단짠 매력적인 갈비천왕 플러스 피자 조합 조아용!!",2025-03-31,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 친목, 부모님",대화하기 좋아요,395,1
13395127,꿈꾸미미,,2025-03-27,저녁에 방문,음식이 맛있어요,1202,1
13395127,som****,굽네치킨들중에 오금점만 이용하는데요! 치킨 너무 바삭하고 맛있어요! 그리고 매장이 너무 깨끗해서 홀에서 먹기도 좋았어요! 여긴 뼈도 맛있지만 순살이 진짜 맛있는데 고추바사삭만 먹다가 처음으로 남해마늘바사삭 시켰는데 이것도 맛있네요! 방문포장 하면 3000원 할인도 되가지구 가성비 좋게 먹을수있는것 같아요! 특히 여사장님 너무 친절해서 포장하러 갈때마다 기분이 좋습니다! 그리고 사실 피자도 맛있어요.. 치즈 많고 달달구리한 피자 좋아하는데 시카고 피자 먹고 반해서.. 아 그리고 매콤치즈 치트킹은 네네치킨 매콤치즈치킨 좋아하시면 드세요 맛 똑같아요.. 기름 치킨 보단 오븐 치킨이라 다이어트 되니까… 오늘도 맛있게 먹었습니다! 자주 이용할게요!☺️,2025-02-13,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 일상, 친구",매장이 청결해요,41,1
13395127,노랑드,매장에서 먹었는데 쾌적했고 남해 마늘치킨이랑 떡볶이 둘 다 넘 맛있었어요 🥹 바삭허면서 마늘 맛이 은은하니 일품 떡볶이도 적당히 맵고 달아서 추운 날에 딱이었어용💕,2025-02-05,"저녁에 방문, 대기 시간 바로 입장, 데이트, 연인・배우자",매장이 넓어요,185,1
13395127,리쩡0824,굿굿,2025-01-04,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 데이트, 연인・배우자",음식이 맛있어요,3074,1
13395127,19****,좋았요,2024-12-25,"점심에 방문, 대기 시간 30분 이내, 친목, 친구",음식이 맛있어요,1513,1
13395127,jun****,클쓰마스에는 치킨뜯기~불금치킨은 캡사이신 들어가나봐요다음엔 불금 안시키려고요 ㅠ,2024-12-25,"점심에 방문, 예약 후 이용, 대기 시간 30분 이내, 일상, 부모님",음식이 맛있어요,226,3
13395127,jun****,토욜 저녁 6시쯤 방문했고요계산해주시는 여자분 친절하시네요 :)감사했어요~,2024-12-07,"저녁에 방문, 예약 후 이용, 대기 시간 30분 이내, 기념일, 부모님, 친척・형제",음식이 맛있어요,226,2
13395127,jun****,생일때는 고기 뜯어야지예~,2024-12-06,"점심에 방문, 예약 후 이용, 대기 시간 30분 이내, 기념일, 부모님, 친척・형제",음식이 맛있어요,226,1
13395127,홍주맘80,친절해요,2024-12-05,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 친목, 친구",재료가 신선해요,974,2
13395127,한지니7596,굽네치킨 오금점만의 특별한 세트가 있어서 좋았고매장에서 먹으니 갓 나온 육즙 팡팡 터지는 치킨이 예술이에요!!!!👍👍👍매장도 넓고 쾌적한데 직원분들도 너무 친절한곳✨앞으로 굽네는 오금점만 먹을래요~💛,2024-11-05,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 데이트, 연인・배우자",인테리어가 멋져요,11,1
13395127,kyr****,입안에 불맛 ~ㅋ,2024-11-02,"저녁에 방문, 포장·배달 이용, 대기 시간 30분 이상, 일상, 아이",음식이 맛있어요,337,1
13395127,홍주맘80,친절해요,2024-10-28,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 지인・동료",음식이 맛있어요,974,1
13395127,high high86,속은 부드럽고 겉은 바삭하니 너무 맛있는 고추바바삭을 먹고온거 같아욤!! 양도 꾀나많고 너무 맛있게 잘먹고 갑니당 다음에도 또 방문드릴께요옹!!,2024-10-13,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 데이트, 연인・배우자",음식이 맛있어요,761,1
13395127,달달구리93,"배달만시키다 직접와서 먹었는데, 너무너무 맛있어요! 사장님 짱 친절👍🏻 치킨도 너무 맛나유👏🏻👏🏻",2024-09-22,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 가족모임, 친척・형제",아늑해요,212,1
13395127,Heramom,고추바사삭 한마리 주문해서 포장할인 받았어요!! 사장님 친절하시고 맛있네요ㅎㅎ 감사합니다😋,2024-09-16,"점심에 방문, 포장·배달 이용, 대기 시간 바로 입장, 데이트, 지인・동료",친절해요,125,1
13395127,Bjw67,예전에 친구랑 같이 매장에서 먹고 닭질이 너무 좋고 육집팡팡 터져서 또 재방문 했어요 먹어본 굽네중에서 오금점이 제일 맛있는거같아요 여자직원분도 너무 친절하시구 사장님도 친절하셨어요 매장가서 드셔보세요 더 마시뜸,2024-09-15,"점심에 방문, 예약 없이 이용, 대기 시간 바로 입장, 데이트, 연인・배우자",음식이 맛있어요,42,1
13395127,soo****,굿,2024-09-08,저녁에 방문,음식이 맛있어요,1188,1
13395127,얀이리뷰,긋,2024-08-09,저녁에 방문,음식이 맛있어요,776,1
13395127,오호라90,친절하고 매장도 깨끗해요!치킨도 맛있어요😊😊,2024-08-05,"저녁에 방문, 포장·배달 이용, 대기 시간 바로 입장, 일상, 혼자",음식이 맛있어요,13,1
13395127,leh****,Rt,2024-07-04,저녁에 방문,음식이 맛있어요,1318,1
13395127,율헌이,굿,2024-05-22,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 친목, 친구",,1830,4
13395127,음4736,쿠폰으로 시켰는데 친절하셨어요,2024-04-01,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 일상, 혼자",친절해요,59,1
13395127,ck****,좋아요~,2024-03-21,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 친목, 지인・동료",가성비가 좋아요,2171,2
13395127,mvsonamoo,치킨 포장하러 왔는데 맛있고 할인도 해줘서 좋네요. 자주 들를게요,2024-02-24,"점심에 방문, 포장·배달 이용, 대기 시간 바로 입장, 친목, 지인・동료",음식이 맛있어요,20,1
13395127,언제나첨처럼,사장이 넘 불친절하고 배짱 장사를 하고 있네요.고객이 왕인데.. 1마리만 시켜서 무시하는건지..존나 싸가지 없네요.이 매장 방문하지 마세요.절때 후회합니다.가지마세요.사장이 넘 버릇이 없네요,2024-02-23,"저녁에 방문, 예약 없이 이용, 대기 시간 30분 이내, 일상, 혼자",,1,1
13395127,gjtnrud1459,좋아요,2024-02-22,저녁에 방문,음식이 맛있어요,815,1
13395127,레봉,굿,2024-01-29,저녁에 방문,음식이 맛있어요,1315,1
13395127,투덜이7557,맛있습니다,2023-11-04,"저녁에 방문, 포장·배달 이용, 대기 시간 바로 입장, 데이트, 아이",음식이 맛있어요,382,1
13395127,ggo****,와 역대급 맛잇어요 ㅠㅠㅜㅠㅠ잘먹었어요 사장님 친절하시구 쵝오..,2023-10-29,저녁에 방문,매장이 청결해요,23,1
13395127,neb****,고추바사삭 맛있어요,2023-09-01,저녁에 방문,음식이 맛있어요,5375,1
13395127,슈퍼맨7242,취소되쓰면 알림을 주던가 뭔데 이거,2023-08-28,저녁에 방문,,3,1
13395127,Normal people,포장주문 할인~ 좋아요ㅋ,2023-08-18,저녁에 방문,음식이 맛있어요,669,2
13395127,Normal people,방문 포장하면 마리당 할인도 해주고 넘 좋아요!!,2023-08-01,저녁에 방문,음식이 맛있어요,669,1
13395127,na9810240,맛있어요,2023-07-02,점심에 방문,음식이 맛있어요,554,4
13395127,tjf****,굿,2023-06-25,저녁에 방문,음식이 맛있어요,238,6
13395127,tjf****,굿,2023-06-08,저녁에 방문,음식이 맛있어요,238,5
13395127,아리8418,음식이 맛있어요 사장님 친절하고 스윗해요,2023-04-12,밤에 방문,친절해요,1025,1
13395127,tjf****,굿,2023-03-14,점심에 방문,음식이 맛있어요,238,4
13395127,na9810240,맛있어요,2023-03-11,저녁에 방문,음식이 맛있어요,554,3
13395127,wbmc2005,,2023-03-01,점심에 방문,매장이 청결해요,1353,1
13395127,tjf****,굿,2023-02-15,저녁에 방문,음식이 맛있어요,238,3
13395127,jun****,,2022-12-24,점심에 방문,매장이 청결해요,1072,3
13395127,77dsnam,포장할인도 되고 맛있엉ᆢ,2022-11-20,점심에 방문,친절해요,459,1
13395127,강꿀벌,맛나욤ㅎㅎ,2022-11-15,저녁에 방문,친절해요,488,1
13395127,밀크티2676,좋아요,2022-11-11,저녁에 방문,가성비가 좋아요,266,1
13395127,인셀덤psj0106597577528,우리아이가 굽네치킨을 너무 사랑합니다,2022-11-07,저녁에 방문,친절해요,58,2
13395127,jeonyeok,처음 탄부분이 있길래 한두개이겠거니 하며 먹었는데 계속 탄부분이 나와서 버리고 버리고.. 나중에 보니 버린 부분만 수두룩하네요. 너무 구워져서 대부분 딱딱했구요. 평소 즐겨먹었는데 오늘 이건 좀 아닌거 같아 글 남깁니다.,2022-11-06,저녁에 방문,,63,1
13395127,큐티엉이,맛있어요,2022-09-29,저녁에 방문,음식이 맛있어요,175,1
13395127,gus****,긛,2022-09-21,아침에 방문,음식이 맛있어요,3814,1
13395127,오소길이,굿,2022-09-20,저녁에 방문,음식이 맛있어요,124,1
13395127,DAWN73,포장할인2000원씩 2마리 받았고생맥주 2000ml사서가족과 함께맛있게  치맥했습니다.생맥주가 싱겁네요^^;;볼케이노는 포장용기가 그릇으로 바뀌었고맛도 덜 매워져서 맛있네요.순살로 바꿨더니추가금액이 4000원...🥶😱,2022-09-19,저녁에 방문,음식이 맛있어요,369,2
13395127,sssn27,긋,2022-09-16,저녁에 방문,음식이 맛있어요,410,2
13395127,eat 또먹기,방문포장이 배달보다 늦을수 있나요? 그러면누가 방문포장해요... 20분 걸린다더니 35분기다리게 하는 치킨집 처음봅니다..,2022-09-16,저녁에 방문,,18,1
13395127,aZrAeL,.,2022-09-15,저녁에 방문,,1933,1
13395127,wkd****,굿,2022-09-14,저녁에 방문,음식이 맛있어요,880,1
13395127,범고래 어푸어푸,맛있고 매장이 청결해요친절하고 분위기가 좋아요!,2022-09-10,저녁에 방문,음식이 맛있어요,37,2
13395127,lhs1026,고추바사삭  맛나요,2022-09-05,저녁에 방문,음식이 맛있어요,874,1
13395127,쑤887,근처 다른 굽네보다 맛잇어요!굽기도 좋고 기름도 적당히돌고 간도 적당히짭쪼름해서ㅋㅋ이제 굽네먹을때는 오금점으로 갈게요,2022-08-31,저녁에 방문,음식이 맛있어요,545,1
13395127,DAWN73,오랜만에 굽네...치킨 맛있네요♡,2022-08-22,저녁에 방문,음식이 맛있어요,369,1
13395127,용돌2253,고추바사삭 맛집,2022-08-18,저녁에 방문,음식이 맛있어요,440,3
13395127,용키리,갓구운치킨 존맛탱,2022-08-05,저녁에 방문,음식이 맛있어요,212,1
13395127,kim****,맛! 굿!,2022-07-27,저녁에 방문,음식이 맛있어요,243,1
13395127,깐47,맛있ㅇ어요!,2022-07-18,저녁에 방문,음식이 맛있어요,98,2
13395127,cis0703,굿,2022-07-03,아침에 방문,재료가 신선해요,1418,6
13395127,용돌2253,맛나요,2022-06-02,저녁에 방문,재료가 신선해요,440,1
13395127,나사랑63,굿,2022-05-17,아침에 방문,음식이 맛있어요,3511,1
13395127,Gyong서,직원분이랑 알바분이 너무 친절하셔요!! 시카고 피자 먹었는데 치즈 드음~뿍 얹어서 나오는게 너무 맛있어요!! 다음에 꼭 다시 먹으러 가겠습니다😳,2022-05-08,점심에 방문,재료가 신선해요,305,1
13395127,min****,굿,2022-04-16,아침에 방문,음식이 맛있어요,955,1
13395127,nhs****,친절해요,2022-04-07,저녁에 방문,친절해요,1231,3
13395127,nhs****,맛있어요,2022-04-07,저녁에 방문,음식이 맛있어요,1231,2
13395127,내이62,여기 다시는 안갈거예요..포장4개 시키고 기다리면서 맥주 2잔 시켰는데 강냉이좀 달라햇더니 줄 수 없다네요...깜놀...감자튀김 해달랬더니 치킨보다 오래걸린다네요~~와~~~또 깜놀!!!손님을 귀찮아하시는듯요..그래서 사장님 배려해서 다신 안가요..,2022-04-07,점심에 방문,특별한 메뉴가 있어요,290,1
13395127,nhs****,친절해요,2022-04-03,밤에 방문,친절해요,1231,1
13395127,파이어멜론,"배달로도 자주 시켜먹고 매장가서도 자주 먹어요. 근데 알바생이 계산실수했는데 죄송하다는 말을 안하더라구요ㅎㅎ 모르고 지나갔으면 거의 만원가량 더 낼뻔했어요,, 매장에서 드실때 다들 영수증 확인 잘하세요^__^",2022-03-19,저녁에 방문,음식이 맛있어요,532,1
13395127,송죽31,오븐에 구운닭고기가 담백하고맛있어요,2022-03-18,저녁에 방문,음식이 맛있어요,1347,1
13395127,카라748,선택할 키워드가 없네요..,2022-03-08,저녁에 방문,,2292,3
13395127,쏘주영,굽네치킨 오금점이전 전부터 자주시켜 먹었는데 성내천 앞에 근사한 홀 갖춘 곳으로 이사옴.집에서 더 가까워지니 더 좋아 💕단연컨데 이근방 굽네중 최고가 아닐까 생각한다.한입 베어물면 육즙이 흐르게 촉촉한 치킨이다.구웠는데 어떻게 이러지? 싶은 그런 맛.술잔도 예쁘고 진짜 친절함.여기 기본안주로 주시는 과자(옥수수) JMT재방문 의사 있음,2022-02-23,저녁에 방문,재료가 신선해요,297,1
13395127,라뮤87,맛있습니다 굿 👍 냠냠,2022-01-12,저녁에 방문,,12,1
13395127,jion0605,불금치킨 너무 맛있어요~소스의 양도 넉넉하고 치킨 조금 남겨서 밥도 볶아 먹었어요^^,2022-01-07,아침에 방문,매장이 청결해요,1246,1
13395127,sssn27,맛도 좋고 매장도 깨끗해보여요! 직원분들도 친절하세요 :),2021-12-09,저녁에 방문,음식이 맛있어요,410,1
13395127,ksj****,,2021-12-06,저녁에 방문,음식이 맛있어요,1405,1
13395127,ck****,좋아요~,2021-10-21,저녁에 방문,,2171,1
13395127,쩡이쩡이51,고추바사삭!첨먹어보는데매울줄알았는데 맛있네요!굿!입니다!ㅋ,2021-05-07,저녁에 방문,,111,1
13395127,jun****,맛있어요,2021-03-03,아침에 방문,,2119,1
13395127,cis0703,굿,2021-01-31,저녁에 방문,,1418,2
13395127,cis0703,굿,2021-01-31,점심에 방문,,1418,1
13395127,소아999,대로변은 맞는데 간판이 조금 찾기 어렵습니다. 고추바사삭 소스는 맛있습니다.,2021-01-19,저녁에 방문,,2360,1
13395127,영웅글로벌,맛있는데 먹다보니 넘 바싹 튀기려고해서 그런지 겉에 좀 탄 곳들이 있어서 떼어내면서 먹게 되더라고요. 배송 잘 오고 맛있습니다.,2020-12-30,저녁에 방문,,996,1
13395127,ruc****,리뷰이벤트도  하고 좋은것 같아요,2020-12-30,저녁에 방문,,233,1
13395127,단비1008,좋아요 😀,2020-12-28,저녁에 방문,,1955,1
13395127,ran100424,굿,2020-12-25,점심에 방문,,572,1
13395127,율헌이,굿,2020-12-25,점심에 방문,,1830,1
13395127,루루사랑귀욥,굿,2020-12-21,아침에 방문,,374,1
13395127,엠버언니,고추바사삭오금점은 배달도 빠르고 맛있습니다,2020-12-20,밤에 방문,,52,1
13395127,수수한녹차,진짜 친절하시고 맛있음,2020-10-06,점심에 방문,,1287,1
13395127,진영p,서비스좋아요~~,2020-09-21,저녁에 방문,,1429,1
13395127,물찬장화,맛있어요써비스로 주신 하리보~~아이가 엄청 좋아했어요,2020-08-12,저녁에 방문,,1478,1
13395127,mj1****,맛나요,2020-07-24,저녁에 방문,,2167,1
13395127,교육공부방,직원들의 친절도가 아쉬워용~~,2020-06-14,저녁에 방문,,1153,1
13395127,지연322,짱 맛있었어요,2020-06-11,저녁에 방문,,62,1
11872666,오구오구도치,오픈시간 전에 도착했는데 발렛주차까지 해주시고 너무 감사했습니다 담당서버분께서 특양과 대창도 너무 맛있게 구워주셨구요 그런데 주문한 곱창전골에 곱창을 넣어주지 않으신걸 확인하고 서버분께서 주방에 요청을 하셨는데 바로 해결이 되지않아 홀관리자분께서 오셔서 다시 확인후 넣어주시더군요 그건 그럴수 있다고 생각하는데 마지막에는 전골안에서 꼬불털까지 나와서..밥맛이 뚝 떨어졌어요이물질이나온 음식값을 다 받으시는것도 이해가 되지 않습니다.담당서버분께서 마지막까지 친절하게 해주셔서 별말없이 나왔지만 불쾌해서 처음으로 리뷰 남깁니다.,2025-04-03,"점심에 방문, 예약 없이 이용, 대기 시간 바로 입장, 친목, 친구",직접 잘 구워줘요,5,1
11872666,돌오씨한,"오발탄의 대창, 양 고기는 말모말모! 너무 맛있고 신선하고 깨끗해요☺️ 대창이야말로 관리도 잘 되어야 하고 곱도 빵빵 해야 하는데 오발탄의 고기는 항상 믿고 먹어요. 대창 굽기가 어려운데 직원 분들이 전문적인 솜씨로 처음부터 끝까지 구워 주십니다. 그래서 가족 모임이나 단체 모임하기 좋은 것 같아요! 매장이 엄청 커서 회전율이 좋지만 예약하고 가는 것을 추천합니다! 매장 앞에 발렛이 가능해서 차를 가지고 가셔도 편리하게 이용할 수 있어요. 후식까지 완벽하게 먹고 나왔습니다 💗",2025-03-29,"저녁에 방문, 예약 후 이용, 대기 시간 바로 입장, 데이트, 친목, 연인・배우자, 친구",음식이 맛있어요,49,1
11872666,스타일리스트2,아이가 처음으로 곱창을 먹어보고싶다고해서 신중히 고르다가  예전에 갔다가 만족해서 예약하고 갔습니다우선 신선하고 직접 구워줘서 너무 좋았고 친절했습니다맛도 역시나 너무 맛있었구요나중에 또 오자고하고 왔습니다처음이라면 점심 런치세트도 구성이 좋고아님 단품으로 시켜도 너무 좋을것같아요후식으로 나온 팥빙수에 팥을 직접 삶아서 하신듯하더라구요 후식까지 맘에 쏙 들었습니다,2025-02-20,"점심에 방문, 예약 후 이용, 대기 시간 바로 입장, 일상, 아이",음식이 맛있어요,7,1
11872666,eagleinho,예전에 먹었던 소곱창 생각나서처음예약하고 갔었는데 완전 비추주차료도 이천원 받네요,2025-01-17,"점심에 방문, 예약 후 이용, 대기 시간 바로 입장, 친목, 친구",컨셉이 독특해요,15,1
11872666,mye****,반찬도 신선하고 좋았고 서빙해주시는분이 너무 친절하셔서 기분좋게 식사하고 나왔네요~,2025-01-12,"저녁에 방문, 예약 없이 이용, 대기 시간 바로 입장, 친목, 친구",음식이 맛있어요,10,1
11872666,조은무나,"""오발탄 송파점"" ?​고품격 한우의 특양과 대창을 전문으로 하는 고품격 레스토랑..송파점은 특히나 서비스와 맛에 집중할 수밖에 없는 오발탄 본점이라고 하네요!!일반 곱창이나 대창집에 비해 가격이 많이 높다는 느낌이지만 충분히 비싼 가격의 가치는 하는 듯.. 내부 인테리어까지 굿!선호하지 않은 고객들을 위해 한우 등심이나 갈비가 준비되어 있으며 트러플 양밥이나 양우탕 또한 사이드 메뉴로 일품!!품격 있는 행사나 가족모임 등에 ""오발탄 송파점"" 추천합니다.- 소상공인파트너 조은무나 안문화 -",2025-01-07,"저녁에 방문, 예약 후 이용, 대기 시간 바로 입장, 친목, 친구",음식이 맛있어요,490,1
11872666,현모양지,직원분들이 너무 친절합니다,2024-12-30,"저녁에 방문, 예약 후 이용, 대기 시간 바로 입장, 일상, 아이",매장이 넓어요,78,1
11872666,황박사홧팅,맛있어요^^,2024-12-29,저녁에 방문,음식이 맛있어요,948,2
11872666,기아언니,ㆍ,2024-12-21,"저녁에 방문, 예약 후 이용, 대기 시간 바로 입장, 친목, 친구",음식이 맛있어요,2962,1
11872666,Park5571,엄청기다렸네요 예약을 해야되는곳인가 봅니다.항상 가격이 비싸서 갸우뚱하는데 먹고나면 뿌듯합니다,2024-12-21,"저녁에 방문, 예약 없이 이용, 대기 시간 30분 이내, 친목, 친구",음식이 맛있어요,572,2
